Month,Building_Type,Building_Age,Building_Area_(sqm),Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Damage_Scale,Time_to_Extinguish_(min),Response_Time_(min),Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Fire_Safety_Training_Conducted,Nearest_Fire_Station_Location,Width_of_Nearby_Roads_(m),Distance_to_Nearby_Buildings_(m),Types_of_Nearby_Buildings,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
1,Industrial,24,684,35,10,No,Electrical,Medium,Large,41,21,49,2,Yes,7,8,No,South,18,99,Industrial,Yes,Yes,Over 3 years,22.801955177374197,74.21905422195458,1.0017040258490164,38.313550128745206
5,Residential,84,887,16,5,Yes,Negligence,Large,Small,35,29,14,4,Yes,6,8,No,North,12,41,Residential,No,No,Over 3 years,26.48209126414934,94.59522581072903,2.6636465587714317,40.46935697767219
1,Residential,4,495,9,3,No,Negligence,Medium,Small,34,16,20,4,No,2,2,Yes,South,7,99,Commercial,No,Yes,None,21.1654565169022,74.25708729904403,1.5816675525959711,5.708910021019548
9,Commercial,68,341,28,8,No,Negligence,Large,Large,50,5,41,4,Yes,7,4,No,North,7,95,Commercial,Yes,Yes,1-3 years,22.701531683750677,71.0698610698316,2.591507847564644,2.3
5,Residential,61,935,9,3,No,Negligence,Medium,Medium,45,25,14,8,No,1,6,No,South,8,76,Residential,No,Yes,None,23.78000482964856,64.51962922938802,2.4036723853882465,19.570427278219636
7,Commercial,61,476,29,8,No,Negligence,Small,Small,14,42,11,9,Yes,12,13,No,South,16,22,Residential,No,No,Over 3 years,20.551171268108657,84.09285895479378,3.8984094104593296,74.18313711185426
8,Industrial,4,723,26,7,Yes,Chemical,Large,Medium,29,22,45,4,No,2,0,No,South,13,13,Public,No,No,Within 1 year,22.30477690973616,73.66035877480272,1.999374275401657,61.305322805661774
3,Commercial,41,661,11,3,Yes,Negligence,Small,Large,40,8,32,10,No,1,5,No,South,10,31,Public,No,No,None,18.911740258097232,54.03564735669288,3.2972767934845777,74.73047372148217
11,Residential,59,621,13,4,No,Chemical,Small,Large,19,21,7,9,Yes,6,7,No,North,18,23,Public,No,No,Over 3 years,15.1,65.88957883722654,2.527848280958656,27.25642977564392
4,Residential,23,997,16,5,Yes,Chemical,Small,Large,13,32,28,6,No,3,0,No,East,12,41,Public,No,No,None,15.1,87.40307099219335,1.8453372068090408,11.131161610269
9,Residential,67,592,32,9,Yes,Negligence,Small,Large,20,17,13,10,Yes,9,10,No,East,14,39,Industrial,Yes,No,Over 3 years,21.693609109928325,50.92266593775608,2.746777315013728,54.25762352955145
4,Industrial,8,694,36,10,Yes,Electrical,Medium,Medium,17,36,6,9,Yes,11,12,No,South,13,95,Public,No,No,Within 1 year,23.62879991787903,71.96095520230837,3.832022115411327,68.73174696923445
5,Commercial,4,570,33,10,Yes,Chemical,Small,Large,21,35,24,3,Yes,5,4,No,East,2,42,Industrial,No,No,Within 1 year,24.48000676673278,70.12029372146844,3.524599287104241,14.990825671696
9,Residential,57,491,20,6,Yes,Chemical,Small,Medium,20,33,38,4,Yes,5,0,No,East,15,28,Public,Yes,No,Over 3 years,16.03359751876539,40.4,3.7398312133373306,53.35243750693755
3,Industrial,97,271,18,5,Yes,Chemical,Small,Large,32,18,21,10,No,3,0,No,East,8,66,Residential,Yes,Yes,Over 3 years,27.08541215092397,74.20732650403474,1.8533645148286,48.04237060607265
4,Commercial,77,92,12,3,No,Negligence,Small,Small,37,46,38,4,Yes,5,8,No,East,13,47,Industrial,No,No,Over 3 years,22.731655580202133,80.1329760608645,3.6279641378582776,50.18954949850421
5,Residential,45,829,19,5,No,Negligence,Large,Medium,36,36,5,6,No,5,3,No,North,20,46,Residential,No,Yes,Within 1 year,22.455367708216095,84.22943586863111,1.8154039689338093,35.81429520352008
6,Residential,35,989,31,9,No,Negligence,Large,Small,14,19,11,6,Yes,7,8,No,South,9,12,Residential,No,Yes,Over 3 years,16.306595372316597,57.87524861838197,0.7746352926254794,29.748829754548908
4,Residential,94,431,45,13,Yes,Chemical,Large,Small,52,28,43,4,Yes,13,0,No,West,20,27,Industrial,No,Yes,Over 3 years,16.74362990621658,79.46324994832018,4.485310647069557,47.93870091070325
7,Residential,46,875,32,9,No,Electrical,Large,Large,41,40,4,6,No,9,9,No,East,2,47,Residential,Yes,Yes,Within 1 year,16.322278018115917,99.4,3.1547359464532967,8.048064452734895
7,Residential,46,825,31,9,Yes,Chemical,Large,Small,22,3,42,7,Yes,8,13,No,East,12,8,Public,No,No,None,15.1,67.30977317342622,0.7163486548674287,87.2178237561645
4,Commercial,69,767,10,3,Yes,Electrical,Medium,Large,55,26,38,5,Yes,4,0,No,North,13,37,Industrial,No,Yes,None,19.159437588305355,89.11640563482848,3.561108191535299,32.780818705472406
6,Commercial,56,695,18,5,Yes,Electrical,Small,Large,49,6,23,3,Yes,1,3,No,South,12,57,Public,No,No,Over 3 years,20.11831649819499,43.02521267438148,4.056317406433537,58.99288590684581
9,Commercial,48,295,39,11,No,Negligence,Medium,Large,20,27,23,10,No,6,6,No,East,2,44,Residential,No,No,1-3 years,29.7,62.68977490180217,1.0297461957959717,2.3
5,Residential,71,735,24,7,No,Negligence,Medium,Small,31,1,21,7,Yes,8,10,No,North,17,99,Industrial,Yes,Yes,1-3 years,25.33504026663088,65.17398928217547,1.4694289507541043,22.00424045283971
12,Residential,67,739,21,6,Yes,Electrical,Large,Large,24,27,0,10,Yes,4,7,No,West,3,87,Commercial,Yes,No,Within 1 year,24.4944232883604,49.63126222959755,4.552845869956856,25.29965382369589
4,Residential,13,92,20,6,No,Chemical,Small,Small,27,31,12,2,No,6,4,No,North,8,28,Public,No,No,Over 3 years,21.22035159256186,69.31352852140712,2.201270318852541,29.67412839732961
5,Commercial,67,713,38,11,No,Chemical,Medium,Large,54,35,20,8,No,8,8,No,South,9,9,Residential,No,No,Over 3 years,25.723636311139455,74.78484500460904,2.526441692053892,32.49905469006682
11,Residential,48,319,49,14,No,Negligence,Small,Medium,27,25,9,7,Yes,15,13,No,North,18,82,Commercial,No,No,Within 1 year,17.320476747247042,40.4,3.947954336839131,13.601890108037768
7,Commercial,26,626,17,5,Yes,Chemical,Small,Small,27,26,31,4,Yes,5,5,No,West,10,71,Residential,No,No,Over 3 years,25.30045670466598,95.36618126210112,1.225077541331669,28.32402978253437
7,Residential,4,214,9,2,No,Chemical,Small,Large,43,28,26,3,No,1,2,No,South,15,99,Residential,No,No,Over 3 years,21.527217264209256,57.93880845022024,2.2344580543264803,2.3
8,Residential,83,559,33,9,No,Negligence,Small,Medium,18,35,0,7,No,5,12,No,South,12,71,Industrial,Yes,No,None,18.598416549013542,84.76472330276621,1.893310446502488,39.2919889525942
1,Residential,71,562,37,11,Yes,Chemical,Small,Small,59,41,18,5,Yes,13,8,No,East,20,53,Residential,No,Yes,None,18.520070228891058,75.52799317226456,2.790423729652602,75.91029862296543
6,Commercial,34,522,27,8,Yes,Chemical,Large,Large,56,4,35,2,Yes,7,6,No,South,9,18,Commercial,Yes,Yes,Within 1 year,22.536520811296533,76.14190163466,2.874974053754531,57.16980866255334
3,Commercial,61,896,19,6,No,Electrical,Medium,Large,26,9,14,7,No,1,2,No,North,18,99,Residential,No,No,1-3 years,18.267679195422343,70.79318659095738,2.45223333243797,2.3
8,Industrial,15,543,16,4,No,Negligence,Medium,Medium,44,4,25,4,No,4,12,No,East,11,69,Residential,No,Yes,None,22.778112372200216,86.36196855989712,1.0995742851618884,5.177431701480245
7,Commercial,57,670,38,11,No,Negligence,Large,Small,33,33,39,10,Yes,15,11,No,East,11,34,Residential,Yes,Yes,Over 3 years,27.392121743341463,99.4,0.9885002992665916,93.15566732996878
6,Commercial,60,758,25,7,Yes,Chemical,Small,Small,33,12,7,5,Yes,6,7,No,North,11,90,Residential,Yes,No,1-3 years,20.052469476035505,80.29844641990867,1.9925622741691256,2.3
3,Residential,82,452,41,12,No,Negligence,Small,Small,32,49,22,10,Yes,15,13,No,East,17,39,Residential,No,No,None,21.13109111633665,87.89822103627661,0.6,43.221460224452784
7,Commercial,98,662,46,13,Yes,Chemical,Small,Medium,45,52,20,2,Yes,10,4,No,East,10,75,Residential,No,Yes,Over 3 years,24.618167646076305,84.84653678727328,4.9,2.3
6,Commercial,99,338,37,11,Yes,Chemical,Medium,Large,32,39,19,8,Yes,7,4,No,East,5,34,Public,No,No,Over 3 years,28.13784648542489,43.37984452453811,1.4672149201458995,41.80965368740437
8,Industrial,4,976,43,13,Yes,Chemical,Small,Medium,30,20,20,2,No,11,10,Yes,East,13,61,Residential,No,No,Over 3 years,25.25533282423957,79.42912494841141,0.7704448249049021,27.513390562356527
10,Commercial,66,891,15,4,Yes,Negligence,Medium,Large,43,22,5,6,No,1,5,No,West,7,56,Public,No,No,None,23.160988851008486,71.15495921205049,1.5906011059483265,26.976680145993956
10,Commercial,23,628,40,12,No,Negligence,Small,Medium,28,57,37,6,Yes,12,0,Yes,East,5,48,Commercial,Yes,Yes,1-3 years,29.7,99.4,4.9,2.3
5,Residential,99,130,27,8,No,Chemical,Large,Large,55,46,0,7,Yes,8,18,No,East,13,52,Commercial,Yes,No,None,22.255904306946647,40.4,3.2591703261889733,57.82986003765157
5,Industrial,64,449,39,11,Yes,Chemical,Small,Medium,30,18,29,7,No,9,10,No,East,5,99,Residential,Yes,Yes,1-3 years,29.7,77.72268725493419,3.6034360068295217,2.3
1,Residential,28,351,15,4,No,Chemical,Small,Large,26,15,19,10,No,6,5,No,South,10,84,Residential,No,Yes,None,19.993256424389106,77.4042943058441,0.6,58.53342631364042
2,Industrial,41,478,18,5,No,Negligence,Small,Large,24,48,32,7,Yes,4,11,No,South,12,44,Public,No,No,None,20.617306637653535,88.27675460267007,1.7785607917882578,67.58656610219506
5,Residential,96,347,25,7,Yes,Chemical,Small,Large,45,26,34,8,Yes,4,2,No,South,4,51,Residential,No,No,Over 3 years,18.36798022673557,73.27668847792617,3.2916468606622225,33.03956597960367
3,Residential,69,371,17,5,Yes,Negligence,Small,Small,54,20,19,8,Yes,8,6,No,East,11,45,Residential,No,Yes,None,16.74130945524812,78.33583237246529,1.7136400332419512,74.2486459693992
8,Commercial,77,685,5,1,No,Electrical,Medium,Large,52,1,50,5,No,1,2,No,North,8,48,Public,No,No,Over 3 years,15.1,66.79250321404342,4.2375171329012025,23.06117411099049
7,Residential,4,815,33,9,No,Negligence,Large,Small,29,1,38,10,No,10,9,No,East,19,59,Industrial,No,No,1-3 years,17.379232707920586,52.3839341771544,0.6,2.3
9,Commercial,76,685,41,12,Yes,Negligence,Medium,Large,51,1,22,3,No,6,5,No,West,12,80,Residential,No,No,Over 3 years,18.10118091628133,62.71588933421038,3.185737030576621,32.559028492645496
3,Commercial,68,728,35,10,No,Negligence,Small,Large,15,24,33,10,Yes,6,2,No,East,10,49,Residential,No,No,1-3 years,26.034696265741303,68.34850593713496,1.0553274374946249,6.4157382063829616
3,Residential,12,926,16,4,Yes,Electrical,Small,Medium,46,11,26,6,Yes,7,0,No,North,20,82,Residential,Yes,Yes,1-3 years,15.1,95.80812148470538,2.506888967698937,32.933507902776604
2,Residential,60,487,10,2,Yes,Negligence,Small,Large,41,13,43,4,Yes,6,4,No,South,20,69,Commercial,No,Yes,Over 3 years,22.70801086200545,68.0596745483798,4.9,18.80358250286904
7,Residential,47,653,11,3,Yes,Negligence,Medium,Medium,51,32,38,2,No,1,0,No,South,8,86,Commercial,No,No,Within 1 year,22.114953776575952,77.00043157537954,3.796021230966102,2.3
6,Commercial,82,466,33,9,No,Chemical,Large,Small,32,30,44,5,Yes,6,3,No,East,13,35,Residential,No,No,Over 3 years,23.683051687321743,73.56109096615378,1.96477132725576,26.81425786523921
9,Residential,46,460,35,10,No,Electrical,Large,Large,33,24,0,10,Yes,12,12,No,East,6,45,Commercial,No,No,Over 3 years,15.806036560930645,78.53679762857303,3.0029303539479466,49.411858698639634
2,Residential,19,391,36,10,Yes,Chemical,Small,Medium,28,28,17,4,No,8,13,No,South,13,93,Industrial,Yes,Yes,Over 3 years,27.746951221875296,65.65055717448173,2.815261303948266,47.35766039767167
6,Commercial,39,251,17,5,No,Chemical,Medium,Medium,24,32,33,5,Yes,5,8,No,North,18,95,Industrial,No,No,None,24.521444201511084,54.53464243253445,4.050142473852249,28.310669502422726
8,Industrial,15,567,35,10,No,Electrical,Large,Large,18,40,32,3,Yes,10,8,No,North,13,90,Residential,No,No,Over 3 years,24.473193224560028,86.92920757399301,4.363243686767986,43.493007003789366
11,Residential,63,464,20,5,No,Chemical,Small,Large,24,46,46,6,Yes,7,3,No,East,8,55,Residential,No,No,Within 1 year,24.109248825112207,57.05148090866487,2.874560875934174,2.3
7,Residential,32,336,45,13,Yes,Chemical,Medium,Large,58,25,24,5,Yes,15,7,Yes,East,12,99,Residential,No,Yes,Within 1 year,25.0184702656868,98.2179020633682,2.0244739158762366,2.3
4,Commercial,97,186,38,11,Yes,Chemical,Small,Medium,49,38,23,8,Yes,12,8,No,South,12,72,Commercial,Yes,Yes,None,22.623972053438788,65.00344203019858,3.634702942565649,43.31865129937856
6,Residential,37,539,27,8,Yes,Chemical,Large,Large,13,16,3,4,Yes,9,13,No,East,20,44,Residential,No,No,None,18.521348578086112,71.45425440488481,2.4704529863998164,78.20751634159377
6,Industrial,86,146,31,9,No,Electrical,Large,Medium,44,21,43,4,Yes,5,7,No,South,9,73,Commercial,No,Yes,None,21.86955210860749,64.5408374680502,3.317945104865452,40.426801603890425
8,Commercial,29,852,43,13,Yes,Negligence,Medium,Medium,37,8,12,8,No,6,0,Yes,East,9,99,Public,Yes,Yes,None,19.562747479820004,54.04206079586816,2.3599546683133634,28.323297022876925
6,Residential,27,474,22,6,No,Negligence,Large,Small,35,24,26,10,No,7,11,No,East,4,68,Commercial,No,No,1-3 years,22.354653921123543,86.61281181537237,0.6,2.3
6,Industrial,74,207,36,10,Yes,Negligence,Large,Large,52,3,29,6,Yes,7,8,No,North,9,39,Commercial,Yes,Yes,Within 1 year,24.71627928527496,82.71230685698656,2.689173913917964,62.91947669253152
4,Residential,74,174,30,9,No,Chemical,Large,Small,45,10,50,6,Yes,12,10,No,South,10,69,Industrial,Yes,Yes,Over 3 years,16.543114161288877,55.633500401381895,2.942668623334792,51.478725410784016
5,Residential,4,750,17,6,No,Negligence,Large,Small,25,38,25,5,No,4,4,No,North,14,92,Commercial,Yes,No,Within 1 year,17.03633978268428,58.894889293013584,2.48120176809735,52.94455493822073
7,Commercial,34,664,34,10,No,Negligence,Medium,Large,32,8,44,7,Yes,7,7,No,South,9,52,Public,No,No,Over 3 years,20.09844145517338,64.75216855686777,0.6,24.770897990246613
5,Industrial,22,92,26,7,No,Electrical,Small,Small,38,44,29,7,Yes,10,7,No,East,11,20,Residential,No,No,Over 3 years,19.99747123426683,99.4,0.6,60.60288118648775
4,Industrial,23,671,15,4,No,Chemical,Medium,Large,23,57,24,10,No,1,3,No,South,3,55,Public,No,No,None,28.32501435001876,77.81536607029248,0.6,59.35426311120538
8,Commercial,4,314,7,2,Yes,Negligence,Medium,Small,35,32,14,4,No,1,0,No,East,15,99,Industrial,No,No,Over 3 years,17.61385380337984,85.95790066499389,1.3670916868919305,17.534544198060356
5,Commercial,85,355,18,5,No,Chemical,Medium,Small,39,13,50,7,Yes,9,6,No,East,14,3,Public,Yes,Yes,1-3 years,19.70205710387125,69.31487818645432,1.924957164585149,65.9302984903359
12,Residential,46,377,49,14,No,Negligence,Small,Large,8,20,42,10,Yes,17,17,Yes,North,11,40,Residential,Yes,No,Over 3 years,21.38897580861118,80.26609374840787,1.867885204384452,77.79471299667908
3,Commercial,68,381,19,5,No,Chemical,Small,Large,52,23,50,6,No,6,14,No,South,13,98,Public,No,Yes,None,29.7,60.8652126406597,3.2931426530619685,48.3278099762282
5,Residential,19,689,31,9,No,Negligence,Small,Medium,21,1,21,8,No,9,12,Yes,North,18,99,Commercial,No,No,Within 1 year,26.854395221634245,75.08332768632515,0.8690012826627753,2.3
6,Residential,26,348,14,4,Yes,Negligence,Large,Small,50,15,37,1,Yes,4,0,No,North,16,45,Residential,No,No,None,15.1,75.17247076692301,1.382327268948776,50.586249550957085
3,Commercial,38,393,35,10,Yes,Chemical,Small,Large,39,31,37,3,Yes,9,9,No,South,20,99,Industrial,No,Yes,Within 1 year,24.05660823313117,79.09694311142576,2.709555704328736,64.95053805740679
4,Residential,4,558,30,9,No,Electrical,Small,Large,19,26,10,5,Yes,11,16,No,South,15,77,Commercial,No,No,Within 1 year,17.66294678679146,61.116792711397785,3.2087621697562136,61.724830829922425
8,Residential,42,464,49,14,No,Negligence,Small,Medium,19,1,30,8,Yes,11,12,No,East,14,58,Commercial,Yes,Yes,Within 1 year,17.975051172795723,52.27906037812919,2.764594496142494,9.457819978521002
1,Residential,34,653,12,3,No,Electrical,Small,Large,42,1,21,9,Yes,1,6,No,South,18,63,Public,No,No,Over 3 years,19.90155763931535,55.7144296980251,0.7842147868898757,36.5937164897212
7,Commercial,89,469,22,6,No,Chemical,Small,Medium,34,45,26,7,Yes,6,5,No,North,2,29,Residential,No,No,Within 1 year,24.76617805993251,76.97348998363466,4.56571819839826,36.26036325138156
4,Industrial,99,650,33,9,No,Chemical,Medium,Large,59,18,45,5,Yes,8,10,No,North,20,72,Public,No,No,Over 3 years,24.18057995008605,54.19863910649126,3.4467755472246826,71.6346319179946
1,Industrial,6,392,18,5,Yes,Negligence,Small,Small,46,29,36,4,Yes,7,4,No,North,18,64,Industrial,No,Yes,Within 1 year,28.566561321872744,87.4993477072657,2.942471137473694,80.19582472264986
4,Commercial,15,515,9,2,No,Negligence,Small,Large,38,21,33,10,No,4,3,No,East,12,24,Residential,Yes,Yes,1-3 years,25.4674715004864,63.885194696415546,1.772282372482641,18.74678937148743
6,Industrial,83,942,26,7,No,Electrical,Large,Large,40,50,31,10,Yes,7,6,No,North,20,82,Industrial,Yes,No,1-3 years,25.61596996512715,99.4,2.793980079339714,58.30191445269773
4,Residential,51,997,9,3,No,Negligence,Small,Medium,45,21,23,5,No,2,5,No,South,10,53,Residential,Yes,Yes,None,15.1,64.52873401484058,4.490516942585434,19.239889939433148
9,Commercial,24,376,15,5,Yes,Negligence,Large,Small,23,46,22,5,No,6,9,No,South,5,25,Industrial,No,No,Over 3 years,21.60474107647061,84.35939765562918,2.1186355773641066,46.154969097582914
7,Residential,84,766,31,9,No,Chemical,Small,Medium,56,23,26,5,No,3,3,No,South,11,87,Residential,No,Yes,None,22.47150503936603,46.63664234668224,3.83858833187296,2.3
3,Residential,4,196,19,5,No,Negligence,Medium,Large,37,47,31,6,No,4,2,No,South,5,72,Public,No,No,None,25.51704488203923,74.60355350419107,1.7284741707261664,28.687667726035368
6,Commercial,13,375,31,9,No,Chemical,Small,Small,43,57,21,7,No,10,7,No,East,6,5,Public,No,No,Within 1 year,29.7,82.67185331368444,1.2250044046721982,31.31856328165633
10,Commercial,76,838,29,9,Yes,Negligence,Small,Small,21,20,32,5,Yes,6,9,No,West,16,62,Public,No,No,Within 1 year,28.228893185617643,87.30147772249119,1.303023360493871,20.410373702059672
2,Residential,64,754,19,5,No,Chemical,Small,Large,59,35,19,8,No,2,6,No,South,12,87,Residential,No,No,None,25.54387949447802,51.44365041294164,0.6,58.31484922844915
10,Residential,52,800,36,10,No,Negligence,Large,Large,38,44,50,4,Yes,7,0,No,East,12,3,Public,No,Yes,Over 3 years,19.584620851261704,71.28431610639336,1.8658146695358584,20.64265746905341
6,Residential,53,746,5,1,No,Electrical,Small,Large,46,28,22,10,Yes,1,5,No,East,3,39,Public,No,No,None,17.075164833987408,67.58220206863379,2.4530812124643457,65.2794811345597
1,Industrial,61,658,34,10,No,Electrical,Medium,Large,39,57,9,6,Yes,15,17,No,North,20,18,Residential,Yes,Yes,None,18.51125830713822,99.4,4.365926481968784,63.50268121832541
4,Commercial,89,629,22,6,Yes,Negligence,Small,Large,53,24,29,8,No,7,7,No,North,12,42,Public,No,Yes,Over 3 years,15.1,83.84141805841814,3.123321803773368,29.02950356551449
1,Commercial,70,422,5,1,Yes,Chemical,Medium,Small,34,31,11,6,Yes,3,6,No,North,12,5,Industrial,Yes,No,Over 3 years,19.74130618698937,65.24135831886258,2.8879102951827145,66.03536376999466
8,Residential,66,609,34,10,No,Negligence,Small,Large,38,12,41,6,Yes,9,9,No,East,16,98,Residential,Yes,No,Within 1 year,25.388718570427116,76.38065741487262,2.06631360375038,30.51630862671935
6,Residential,78,610,29,8,No,Negligence,Medium,Small,43,7,3,10,Yes,6,7,No,East,8,24,Industrial,No,No,Over 3 years,16.24072422180305,55.25850540659263,4.253118594520697,11.923664771369603
7,Residential,80,693,24,7,No,Chemical,Small,Large,29,36,17,9,No,3,1,No,South,9,90,Residential,No,No,None,19.385319672316086,50.161932359634,0.6,5.05052115463425
7,Industrial,69,521,26,7,Yes,Chemical,Small,Large,35,25,34,9,Yes,6,2,No,North,8,26,Residential,No,No,Within 1 year,18.002025890979525,73.75209828472467,3.260030350494458,16.66651705186779
9,Industrial,4,484,31,8,No,Negligence,Medium,Medium,37,41,48,4,No,6,3,No,East,7,46,Public,No,No,1-3 years,26.93811085884236,99.4,1.847136699097916,9.620320611215275
3,Residential,25,816,18,5,Yes,Negligence,Small,Small,48,1,30,5,No,6,3,No,East,18,37,Public,No,Yes,None,15.1,94.4648367727309,0.6,42.30280303844605
9,Residential,31,414,19,5,No,Electrical,Small,Small,30,1,18,6,Yes,8,3,Yes,West,14,64,Industrial,No,No,Over 3 years,15.1,75.41916947971721,2.4696184384051723,17.111412547401862
4,Commercial,19,104,25,7,No,Negligence,Medium,Large,58,26,10,10,No,11,12,No,East,13,52,Industrial,No,No,None,18.12729851328194,87.93303341347251,1.746513958203863,31.523357577154627
6,Commercial,86,321,33,10,Yes,Negligence,Small,Small,25,22,14,8,Yes,9,16,No,West,13,59,Residential,No,No,Within 1 year,15.1,52.09098903651022,2.0242443978172737,65.26887929748946
5,Commercial,37,356,5,1,Yes,Negligence,Small,Large,36,33,34,4,No,4,0,No,West,15,73,Public,No,Yes,None,15.1,99.4,3.6815183898509662,69.33560629657632
4,Residential,40,491,26,7,Yes,Negligence,Medium,Large,26,10,23,5,Yes,9,4,No,West,15,27,Residential,No,Yes,Within 1 year,15.1,98.30363987680084,2.3140187819907725,61.80041715339201
4,Industrial,68,425,37,10,Yes,Negligence,Medium,Large,28,7,25,5,Yes,12,13,No,West,9,46,Industrial,No,No,Within 1 year,25.53805512034904,84.03443740103299,3.1358825876039518,48.41293289885682
1,Residential,63,943,5,1,Yes,Chemical,Large,Large,38,47,27,5,Yes,4,5,No,South,17,52,Public,No,Yes,None,21.472221416312347,64.67247575214463,4.574732683111161,72.37983681810577
11,Residential,40,753,32,10,Yes,Chemical,Small,Small,26,40,9,4,No,7,5,No,East,10,44,Residential,No,No,Over 3 years,19.30078597030897,56.16504790796174,2.256191971728567,27.488502880819013
12,Commercial,59,517,28,8,No,Negligence,Medium,Medium,45,57,34,6,No,6,3,No,South,12,54,Residential,No,No,None,25.338892652169363,66.07683598597842,4.9,29.129050693215337
2,Commercial,76,369,26,8,Yes,Negligence,Medium,Small,59,22,29,6,Yes,8,0,No,North,18,93,Industrial,Yes,Yes,Over 3 years,19.26229676900656,86.39368547048672,3.953296663123823,14.469056014657829
3,Industrial,67,921,33,10,No,Negligence,Small,Large,36,1,36,3,Yes,4,12,No,South,10,74,Public,No,No,None,21.45716279266118,64.17713255051359,1.270289951720968,59.34232895270482
8,Commercial,99,428,49,14,No,Negligence,Medium,Medium,36,36,24,10,Yes,15,12,No,South,14,41,Residential,No,No,None,23.275089596609785,58.71852784614735,3.2741695344390704,39.29755755634147
10,Commercial,43,448,21,6,No,Negligence,Small,Large,40,29,35,3,No,2,0,No,North,16,81,Industrial,Yes,Yes,Within 1 year,26.48814871893224,68.39344850706358,3.3300588431923943,2.3
6,Industrial,99,406,37,11,No,Electrical,Small,Large,16,19,24,10,Yes,10,20,No,North,18,74,Industrial,No,No,Over 3 years,23.73640676251661,51.53420492783603,2.7929150673571708,43.96769320010066
1,Residential,31,158,28,8,No,Chemical,Medium,Large,29,31,8,8,Yes,6,0,No,East,7,13,Commercial,No,No,None,20.688125372077323,71.79311939218599,3.957151884722982,13.28680588265216
1,Commercial,87,756,16,5,No,Chemical,Medium,Large,53,2,31,7,Yes,2,4,No,South,4,24,Public,No,Yes,None,21.154419210021523,55.49330368072046,2.1355024996575724,61.49675167070577
12,Residential,50,836,44,12,Yes,Chemical,Small,Medium,25,21,0,10,Yes,6,6,No,South,11,81,Residential,No,No,None,27.42152841559705,42.23707178261587,1.0557315028051877,26.37752374418245
8,Industrial,24,794,28,8,No,Negligence,Medium,Large,13,27,48,1,Yes,6,9,No,East,9,99,Public,Yes,No,1-3 years,29.7,72.47736976294098,3.012002883103647,2.3
7,Residential,29,345,19,5,No,Electrical,Medium,Small,33,20,12,10,Yes,5,7,No,East,2,34,Industrial,No,No,Within 1 year,18.46252977463927,82.66740349408575,0.7913159156672651,6.194570734169471
8,Residential,7,318,24,7,No,Negligence,Medium,Large,59,48,43,4,No,6,11,No,South,13,71,Public,No,Yes,None,25.169744376312707,88.84072516107402,1.4568702924204529,36.323465289692585
5,Industrial,71,373,25,7,Yes,Negligence,Small,Small,25,9,30,6,No,11,19,No,North,7,75,Residential,Yes,Yes,1-3 years,23.5913036318605,85.82820186596675,2.7145954204048044,44.17971070001878
8,Commercial,57,520,44,13,Yes,Chemical,Large,Medium,40,34,27,2,Yes,12,13,No,East,15,54,Residential,Yes,Yes,Over 3 years,26.007105494676495,83.45077403579059,3.593445665758292,35.2703904882676
11,Residential,8,741,23,7,Yes,Negligence,Medium,Large,33,57,17,5,No,8,5,No,North,10,18,Industrial,No,Yes,Within 1 year,29.7,98.55400771546098,3.923334322942528,3.2345599214761016
3,Residential,86,794,28,8,No,Negligence,Large,Small,49,12,9,9,Yes,11,5,No,North,20,18,Commercial,No,Yes,Over 3 years,15.1,61.57255636213418,3.4186205009954955,34.45434879790906
6,Commercial,39,265,10,3,Yes,Chemical,Small,Large,23,37,24,6,Yes,5,4,No,South,4,26,Residential,No,No,None,23.71680010309293,69.66357465117508,3.617879625901334,82.55070690229083
5,Commercial,65,733,5,1,Yes,Chemical,Large,Small,31,57,29,4,Yes,5,6,No,West,13,26,Public,No,No,None,23.396022302302,94.39010498038932,4.254159179539676,83.57718376775998
8,Commercial,46,573,41,12,Yes,Electrical,Small,Large,31,30,18,6,Yes,8,9,No,South,8,74,Industrial,No,No,Over 3 years,16.489536071053337,80.48512301964985,3.5245080404279525,58.94188620247468
8,Commercial,54,760,19,6,Yes,Chemical,Small,Medium,57,44,42,3,No,7,4,No,South,12,83,Residential,No,No,Over 3 years,19.912953514176376,68.54525485056305,3.647113194693602,15.46494631813492
6,Commercial,75,390,35,10,No,Electrical,Large,Large,28,35,50,6,Yes,12,2,No,West,17,56,Industrial,Yes,Yes,1-3 years,21.30573838172051,99.4,3.010310225911689,27.755637336840955
6,Commercial,56,238,34,10,Yes,Negligence,Small,Small,41,32,19,2,No,11,10,No,North,13,99,Industrial,Yes,Yes,1-3 years,20.40749148632058,91.95742885095405,2.859767061534183,30.866769714422
8,Commercial,99,383,17,5,Yes,Negligence,Medium,Medium,34,7,29,9,Yes,8,15,No,North,9,47,Residential,No,No,None,17.464304122409633,61.33129330656607,3.688281927314125,45.53107310347308
